iter	Passed	Remaining
1218	52548	45177
1219	52589	45132
1220	52633	45089
1221	52675	45045
1222	52716	45001
1223	52758	44956
1224	52800	44912
1225	52841	44868
1226	52884	44825
1227	52924	44779
1228	52968	44736
1229	53011	44693
1230	53048	44645
1231	53092	44602
1232	53133	44557
1233	53170	44510
1234	53214	44467
1235	53260	44426
1236	53302	44382
1237	53345	44339
1238	53384	44293
1239	53436	44257
1240	53479	44214
1241	53521	44170
1242	53568	44130
1243	53609	44085
1244	53650	44041
1245	53696	43999
1246	53733	43952
1247	53773	43906
1248	53814	43861
1249	53858	43819
1250	53902	43777
1251	53958	43744
1252	54003	43702
1253	54045	43658
1254	54087	43614
1255	54125	43567
1256	54159	43517
1257	54203	43474
1258	54243	43429
1259	54277	43379
1260	54323	43338
1261	54365	43294
1262	54410	43252
1263	54462	43216
1264	54504	43172
1265	54544	43127
1266	54580	43078
1267	54624	43036
1268	54667	42992
1269	54708	42948
1270	54755	42908
1271	54794	42862
1272	54830	42813
1273	54872	42769
1274	54909	42721
1275	54949	42676
1276	54991	42632
1277	55035	42589
1278	55075	42544
1279	55117	42500
1280	55159	42457
1281	55202	42413
1282	55242	42368
1283	55283	42323
1284	55328	42282
1285	55360	42230
1286	55396	42181
1287	55442	42141
1288	55485	42098
1289	55528	42055
1290	55572	42013
1291	55615	41969
1292	55658	41927
1293	55700	41883
1294	55742	41839
1295	55783	41794
1296	55824	41749
1297	55867	41706
1298	55912	41665
1299	55952	41620
1300	55994	41576
1301	56037	41533
1302	56080	41490
1303	56121	41445
1304	56180	41414
1305	56223	41371
1306	56263	41325
1307	56306	41282
1308	56350	41240
1309	56383	41189
1310	56421	41143
1311	56463	41099
1312	56510	41059
1313	56552	41015
1314	56594	40972
1315	56636	40927
1316	56677	40883
1317	56718	40839
1318	56760	40795
1319	56803	40752
1320	56843	40707
1321	56886	40663
1322	56930	40621
1323	56982	40585
1324	57023	40540
1325	57064	40496
1326	57107	40452
1327	57150	40409
1328	57191	40365
1329	57230	40319
1330	57274	40277
1331	57316	40233
1332	57357	40189
1333	57401	40146
1334	57442	40102
1335	57482	40057
1336	57525	40013
1337	57572	39973
1338	57608	39925
1339	57648	39880
1340	57688	39835
1341	57734	39794
1342	57772	39748
1343	57815	39704
1344	57848	39655
1345	57890	39611
1346	57935	39569
1347	57984	39530
1348	58026	39487
1349	58071	39445
1350	58131	39414
1351	58174	39371
1352	58216	39327
1353	58260	39285
1354	58305	39243
1355	58354	39204
1356	58399	39162
1357	58444	39120
1358	58486	39076
1359	58527	39032
1360	58570	38989
1361	58614	38947
1362	58652	38901
1363	58699	38860
1364	58737	38813
1365	58779	38770
1366	58820	38726
1367	58864	38683
1368	58908	38641
1369	58949	38597
1370	58992	38553
1371	59038	38512
1372	59080	38469
1373	59121	38424
1374	59165	38382
1375	59208	38339
1376	59252	38296
1377	59295	38253
1378	59337	38210
1379	59380	38166
1380	59420	38122
1381	59462	38078
1382	59504	38034
1383	59547	37991
1384	59588	37947
1385	59629	37903
1386	59670	37858
1387	59715	37817
1388	59757	37773
1389	59798	37729
1390	59840	37685
1391	59880	37640
1392	59924	37597
1393	59963	37552
1394	60006	37509
1395	60048	37465
1396	60093	37424
1397	60135	37380
1398	60175	37335
1399	60231	37300
1400	60269	37254
1401	60309	37209
1402	60350	37165
1403	60397	37124
1404	60436	37079
1405	60470	37030
1406	60515	36989
1407	60559	36946
1408	60616	36912
1409	60660	36869
1410	60703	36826
1411	60747	36784
1412	60789	36740
1413	60832	36697
1414	60873	36653
1415	60912	36607
1416	60957	36566
1417	60995	36519
1418	61034	36474
1419	61075	36430
1420	61113	36384
1421	61154	36339
1422	61194	36295
